"Date","Price","Open","High","Low","Change %"
"Dec 11, 2012","1.3006","1.2942","1.3016","1.2929","0.50"
"Dec 12, 2012","1.3074","1.3007","1.3098","1.2994","0.52"
"Dec 13, 2012","1.3078","1.3074","1.3102","1.3041","0.03"
"Dec 14, 2012","1.3163","1.3079","1.3175","1.3067","0.65"
"Dec 17, 2012","1.3165","1.3190","1.3192","1.3144","0.02"
"Dec 18, 2012","1.3230","1.3164","1.3239","1.3155","0.49"
"Dec 19, 2012","1.3228","1.3230","1.3310","1.3222","-0.02"
"Dec 20, 2012","1.3244","1.3228","1.3297","1.3189","0.12"
"Dec 21, 2012","1.3188","1.3245","1.3255","1.3159","-0.42"
"Dec 24, 2012","1.3186","1.3188","1.3234","1.3167","-0.02"
"Dec 25, 2012","1.3183","1.3184","1.3208","1.3170","-0.02"
"Dec 26, 2012","1.3224","1.3183","1.3255","1.3170","0.31"
"Dec 27, 2012","1.3236","1.3225","1.3285","1.3201","0.09"
"Dec 28, 2012","1.3216","1.3236","1.3258","1.3167","-0.15"
"Dec 31, 2012","1.3196","1.3214","1.3236","1.3173","-0.15"
"Jan 01, 2013","1.3205","1.3194","1.3220","1.3180","0.07"
"Jan 02, 2013","1.3186","1.3205","1.3302","1.3157","-0.14"
"Jan 03, 2013","1.3048","1.3187","1.3192","1.3046","-1.05"
"Jan 04, 2013","1.3069","1.3048","1.3091","1.2999","0.16"
